T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
34,Southern Asia,2005,International migrant stock: Both sexes (% total population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2005,International migrant stock: Male (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2005,International migrant stock: Female (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2010,International migrant stock: Both sexes (number),"14,439,064",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2010,International migrant stock: Both sexes (% total population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2010,International migrant stock: Male (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2010,International migrant stock: Female (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2015,International migrant stock: Both sexes (number),"13,914,922",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2015,International migrant stock: Both sexes (% total population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2015,International migrant stock: Male (% total Population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2015,International migrant stock: Female (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2024,International migrant stock: Both sexes (number),"16,459,536",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2024,International migrant stock: Both sexes (% total population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2024,International migrant stock: Male (% total Population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
34,Southern Asia,2024,International migrant stock: Female (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2005,International migrant stock: Both sexes (number),"21,262,754",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2005,International migrant stock: Both sexes (% total population),10.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2005,International migrant stock: Male (% total Population),12.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2005,International migrant stock: Female (% total Population),7.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2010,International migrant stock: Both sexes (number),"30,063,216",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2010,International migrant stock: Both sexes (% total population),12.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2010,International migrant stock: Male (% total Population),15.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2010,International migrant stock: Female (% total Population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2015,International migrant stock: Both sexes (number),"41,799,209",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2015,International migrant stock: Both sexes (% total population),15.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2015,International migrant stock: Male (% total Population),19.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2015,International migrant stock: Female (% total Population),11.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2024,International migrant stock: Both sexes (number),"49,211,670",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2024,International migrant stock: Both sexes (% total population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2024,International migrant stock: Male (% total Population),19.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
145,Western Asia,2024,International migrant stock: Female (% total Population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2005,International migrant stock: Both sexes (number),"65,793,082",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2005,International migrant stock: Both sexes (% total population),9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2005,International migrant stock: Male (% total Population),9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2005,International migrant stock: Female (% total Population),8.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2010,International migrant stock: Both sexes (number),"72,509,226",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2010,International migrant stock: Both sexes (% total population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2010,International migrant stock: Male (% total Population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2010,International migrant stock: Female (% total Population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2015,International migrant stock: Both sexes (number),"75,711,153",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2015,International migrant stock: Both sexes (% total population),10.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2015,International migrant stock: Male (% total Population),10.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2015,International migrant stock: Female (% total Population),10.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2015,Total refugees and people in refugee-like situations (number),"1,626,214",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2015,"Asylum seekers, including pending cases (number)","678,737",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2015,Other of concern to UNHCR (number),"2,368,815",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2015,Total population of concern to UNHCR (number),"4,673,766",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2024,International migrant stock: Both sexes (number),"94,051,503",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2024,International migrant stock: Both sexes (% total population),12.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2024,International migrant stock: Male (% total Population),12.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2024,International migrant stock: Female (% total Population),12.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
150,Europe,2024,Total refugees and people in refugee-like situations (number),"9,816,951",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2024,"Asylum seekers, including pending cases (number)","1,234,503",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2024,Other of concern to UNHCR (number),"5,608,833",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
150,Europe,2024,Total population of concern to UNHCR (number),"16,602,617",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
151,Eastern Europe,2005,International migrant stock: Both sexes (number),"20,092,493",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2005,International migrant stock: Both sexes (% total population),6.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2005,International migrant stock: Male (% total Population),6.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2005,International migrant stock: Female (% total Population),6.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2010,International migrant stock: Both sexes (number),"19,389,898",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2010,International migrant stock: Both sexes (% total population),6.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2010,International migrant stock: Male (% total Population),6.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2010,International migrant stock: Female (% total Population),6.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2015,International migrant stock: Both sexes (number),"17,559,211",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2015,International migrant stock: Both sexes (% total population),6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2015,International migrant stock: Male (% total Population),6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2015,International migrant stock: Female (% total Population),6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2024,International migrant stock: Both sexes (number),"18,646,093",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2024,International migrant stock: Both sexes (% total population),6.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2024,International migrant stock: Male (% total Population),6.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
151,Eastern Europe,2024,International migrant stock: Female (% total Population),6.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2005,International migrant stock: Both sexes (number),"9,668,148",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2005,International migrant stock: Both sexes (% total population),10,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2005,International migrant stock: Male (% total Population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2005,International migrant stock: Female (% total Population),10.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2010,International migrant stock: Both sexes (number),"11,953,254",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2010,International migrant stock: Both sexes (% total population),12,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2010,International migrant stock: Male (% total Population),11.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2010,International migrant stock: Female (% total Population),12.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2015,International migrant stock: Both sexes (number),"13,955,273",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2015,International migrant stock: Both sexes (% total population),13.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2015,International migrant stock: Male (% total Population),13.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2015,International migrant stock: Female (% total Population),13.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2024,International migrant stock: Both sexes (number),"18,543,047",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2024,International migrant stock: Both sexes (% total population),17,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2024,International migrant stock: Male (% total Population),17.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
154,Northern Europe,2024,International migrant stock: Female (% total Population),16.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2005,International migrant stock: Both sexes (number),"11,897,749",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2005,International migrant stock: Both sexes (% total population),7.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2005,International migrant stock: Male (% total Population),8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2005,International migrant stock: Female (% total Population),7.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2010,International migrant stock: Both sexes (number),"15,213,351",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2010,International migrant stock: Both sexes (% total population),9.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2010,International migrant stock: Male (% total Population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2010,International migrant stock: Female (% total Population),9.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2015,International migrant stock: Both sexes (number),"15,507,903",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2015,International migrant stock: Both sexes (% total population),10.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2015,International migrant stock: Male (% total Population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2015,International migrant stock: Female (% total Population),10.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2024,International migrant stock: Both sexes (number),"20,119,984",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2024,International migrant stock: Both sexes (% total population),13.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2024,International migrant stock: Male (% total Population),13,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
39,Southern Europe,2024,International migrant stock: Female (% total Population),13.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2005,International migrant stock: Both sexes (number),"24,134,692",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2005,International migrant stock: Both sexes (% total population),12.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2005,International migrant stock: Male (% total Population),13,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2005,International migrant stock: Female (% total Population),12.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2010,International migrant stock: Both sexes (number),"25,952,723",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2010,International migrant stock: Both sexes (% total population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2010,International migrant stock: Male (% total Population),13.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2010,International migrant stock: Female (% total Population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2015,International migrant stock: Both sexes (number),"28,688,766",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2015,International migrant stock: Both sexes (% total population),14.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2015,International migrant stock: Male (% total Population),14.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2015,International migrant stock: Female (% total Population),14.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2024,International migrant stock: Both sexes (number),"36,742,379",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2024,International migrant stock: Both sexes (% total population),18.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2024,International migrant stock: Male (% total Population),18.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
155,Western Europe,2024,International migrant stock: Female (% total Population),18.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2005,International migrant stock: Both sexes (number),"6,041,977",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2005,International migrant stock: Both sexes (% total population),17.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2005,International migrant stock: Male (% total Population),17.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2005,International migrant stock: Female (% total Population),18,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2010,International migrant stock: Both sexes (number),"7,134,959",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2010,International migrant stock: Both sexes (% total population),19.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2010,International migrant stock: Male (% total Population),18.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2010,International migrant stock: Female (% total Population),19.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2015,International migrant stock: Both sexes (number),"8,168,067",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2015,International migrant stock: Both sexes (% total population),20.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2015,International migrant stock: Male (% total Population),19.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2015,International migrant stock: Female (% total Population),20.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2015,Total refugees and people in refugee-like situations (number),"46,963",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
9,Oceania,2015,"Asylum seekers, including pending cases (number)","24,347",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
9,Oceania,2015,Total population of concern to UNHCR (number),"71,310",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
9,Oceania,2024,International migrant stock: Both sexes (number),"9,901,164",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2024,International migrant stock: Both sexes (% total population),21.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2024,International migrant stock: Male (% total Population),20.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2024,International migrant stock: Female (% total Population),22,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
9,Oceania,2024,Total refugees and people in refugee-like situations (number),"41,860",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
9,Oceania,2024,"Asylum seekers, including pending cases (number)","93,715",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
9,Oceania,2024,Other of concern to UNHCR (number),"106,190",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
9,Oceania,2024,Total population of concern to UNHCR (number),"237,119",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
53,Australia and New Zealand,2005,International migrant stock: Both sexes (number),"5,735,938",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2005,International migrant stock: Both sexes (% total population),23.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2005,International migrant stock: Male (% total Population),23.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2005,International migrant stock: Female (% total Population),23.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2010,International migrant stock: Both sexes (number),"6,836,784",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2010,International migrant stock: Both sexes (% total population),25.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2010,International migrant stock: Male (% total Population),25.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2010,International migrant stock: Female (% total Population),25.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2015,International migrant stock: Both sexes (number),"7,865,257",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2015,International migrant stock: Both sexes (% total population),27.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2015,International migrant stock: Male (% total Population),27.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2015,International migrant stock: Female (% total Population),27.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2024,International migrant stock: Both sexes (number),"9,579,393",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2024,International migrant stock: Both sexes (% total population),30,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2024,International migrant stock: Male (% total Population),29.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
53,Australia and New Zealand,2024,International migrant stock: Female (% total Population),30.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2005,International migrant stock: Both sexes (number),"103,881",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2005,International migrant stock: Both sexes (% total population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2005,International migrant stock: Female (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2010,International migrant stock: Both sexes (number),"110,691",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2010,International migrant stock: Both sexes (% total population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2010,International migrant stock: Male (% total Population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2010,International migrant stock: Female (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2015,International migrant stock: Both sexes (number),"119,343",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2015,International migrant stock: Both sexes (% total population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2015,International migrant stock: Male (% total Population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2015,International migrant stock: Female (% total Population),1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2024,International migrant stock: Both sexes (number),"128,055",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2024,International migrant stock: Both sexes (% total population),1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2024,International migrant stock: Male (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
54,Melanesia,2024,International migrant stock: Female (% total Population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2005,International migrant stock: Both sexes (number),"128,390",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2005,International migrant stock: Both sexes (% total population),24.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2005,International migrant stock: Male (% total Population),24.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2005,International migrant stock: Female (% total Population),25.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2010,International migrant stock: Both sexes (number),"114,743",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2010,International migrant stock: Both sexes (% total population),22.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2010,International migrant stock: Male (% total Population),22.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2010,International migrant stock: Female (% total Population),22.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2015,International migrant stock: Both sexes (number),"113,466",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2015,International migrant stock: Both sexes (% total population),21.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2015,International migrant stock: Male (% total Population),21.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2015,International migrant stock: Female (% total Population),21.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2024,International migrant stock: Both sexes (number),"123,424",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2024,International migrant stock: Both sexes (% total population),23.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2024,International migrant stock: Male (% total Population),23.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
57,Micronesia,2024,International migrant stock: Female (% total Population),23.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
61,Polynesia,2005,International migrant stock: Both sexes (number),"73,768",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
