Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"3","'008","Albania","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD",,,,,,,,,,,,,,,"14.530612","4.106528","9.963076","20.240145","61.234862","32.701381","5.574986","24.682496","20.262467","34.111279","28.091909","37.612338","63.675704","24.560740","69.183877","107.630060","72.240195","48.049765","137.056549","170.590548"
"4","'012","Algeria","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","million USD",,,,,,,,,,,,,,"7.165312","4.457883","30.991000","124.872276","36.908000","235.730246","46.923960","23.303000",,,,,,,,,,,,,
"4","'012","Algeria","23080","FDI inflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","million USD",,,,,,,,,,,,,,"11.889668","6.135805","37.352253","134.974982","35.764763","184.634260","46.536558","20.378651",,,,,,,,,,,,,
"4","'012","Algeria","23080","FDI inflows to Agriculture, Forestry and Fishing","61410","Share of Total FDI inflows US$, 2015 prices","%",,,,,,,,,,,,,,"1.551560","0.621679","3.794676","8.690142","2.621841","11.242417","1.859368","1.440742",,,,,,,,,,,,,
"4","'012","Algeria","23082","Total FDI inflows","6110","Value US$","million USD","40.000000","80.000000","30.000000","0.001000","0.001000","0.001000","270.000000","260.000000","606.600000","291.600000","280.100000","1113.105540","1064.960000","461.813534","717.072082","816.696955","1436.941711","1407.713000","2096.793246","2523.651385","1617.430000","2580.626410","1499.446850","1696.866750","1506.733440","-584.539200","1636.299240","1232.341920","1474.589070","1381.835000","1139.724000","869.699600","254.736900","1216.323000"
"4","'012","Algeria","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","52.125528","136.591731","49.446151","0.001558","0.001855","0.001942","489.133641","463.992095","1137.488603","559.046387","494.841244","2011.130882","1968.867293","766.304337","986.973960","984.333230","1553.196493","1364.108634","1642.300366","2502.816228","1414.454837","1871.618585","1075.836465","1247.420147","1127.932607","-584.539200","1751.390759","1257.121332","1480.393800","1426.848642","1316.195886","925.881503","238.164821","1113.060208"
"4","'012","Algeria","23085","Total FDI outflows","6110","Value US$","million USD","4.688800","0.001000","0.001000","0.001000","0.001000","0.001000","0.001000","0.001000","1.000000","7.600000","13.700000","9.300000","98.570000","28.320630","245.449810","-20.193430","33.973130","150.627110","317.982710","214.813770","220.493960","533.510480","-41.301330","-268.410760","-18.297240","103.204710","46.856670","-17.544600","854.176930","30.989850","14.670220","-51.539700","85.076210","83.510730"
"4","'012","Algeria","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","6.110154","0.001707","0.001648","0.001558","0.001855","0.001942","0.001812","0.001785","1.875187","14.570482","24.203231","16.803004","182.233369","46.993472","337.835731","-24.338360","36.721703","145.961386","249.057995","213.040277","192.823645","386.932462","-29.633246","-197.317196","-13.697216","103.204710","50.152403","-17.897379","857.539403","31.999353","16.941719","-54.869124","79.541521","76.420877"
"7","'024","Angola","23082","Total FDI inflows","6110","Value US$","million USD","-334.500000","664.100000","288.000000","302.000000","170.100000","472.000000","180.630000","411.650000","1114.000000","2471.401000","878.601000","2145.501000","1743.504000","3576.971780","2197.227820","-1303.836930","-37.714860","-893.342150","1678.971010","2205.298180","-3227.211180","-3023.770970","-1464.600000","-7120.000000","3657.500000","10028.200000","-179.500000","-7397.300000","-5732.500000","-4098.478750","-1866.468110","-4355.116550","-6598.652650","-2085.577720"
"7","'024","Angola","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","-867.561779","1468.880090","522.449607","574.734574","318.756127","2122.590112","702.084723","1464.495175","4923.778891","11691.576166","2886.815279","7428.269334","5404.256081","9798.854601","5050.978506","-2196.345585","-50.064103","-1085.066598","1671.107844","2787.882938","-3589.216365","-2608.454448","-1197.193384","-5721.583420","2890.544878","10028.200000","-200.887216","-6848.249137","-6311.470228","-5462.644271","-3559.936663","-6592.299056","-6347.380768","-2536.250313"
"7","'024","Angola","23085","Total FDI outflows","6110","Value US$","million USD","0.900000",,"0.188900","2.000000","-2.000000","-1.000000","-12.420960","3.973420",,"-0.088290",,,"100.111000","95.900000","783.236000","219.362060","190.585090","911.781460","2569.643970","6.753120","1340.429380","2092.642450","886.500000","921.600000","886.800000","-784.900000","273.000000","1352.000000","5.700000","-2349.425840","90.514470","-1057.370590","41.066360","33.356160"
"7","'024","Angola","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","2.334247",,"0.342676","3.806189","-3.747867","-4.497013","-48.278615","14.135927",,"-0.417678",,,"310.309285","262.711090","1800.499778","369.520820","252.989714","1107.463257","2557.609493","8.537126","1490.789043","1805.216917","724.642861","740.591472","700.843527","-784.900000","305.527633","1251.650309","6.275688","-3131.424704","172.639317","-1600.531940","39.502583","40.564094"
"258","'660","Anguilla","23082","Total FDI inflows","6110","Value US$","million USD","10.820000","6.114810","15.422220","6.466670","11.144440","17.581480","33.229630","21.244440","28.062960","38.011110","39.713790","29.618890","33.238230","29.392300","91.750520","118.584130","143.182990","120.132140","100.849210","43.591650","11.405150","38.917340","43.543840","56.470820","79.769730","115.556270","114.330970","107.775390","215.921510","163.424190","69.188630","86.687330","102.179590","147.282270"
"258","'660","Anguilla","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","20.325955","9.144158","27.316970","11.282649","18.820733","28.732319","52.716566","33.311721","42.950021","56.772808","59.006344","43.625493","46.339291","40.146686","120.706172","154.973640","181.404102","138.402008","114.290942","50.351476","13.347117","43.545543","47.584851","61.040374","81.706935","115.556270","115.112981","115.459873","218.836808","149.604211","64.748086","78.590544","76.481973","107.414868"
"258","'660","Anguilla","23085","Total FDI outflows","6110","Value US$","million USD",,,,,,,,,,,,,,,,,,,,,,,,,"-21.849220","30.722250","9.894480","-15.549350","43.374940","13.860410","1.832640","-73.720870","2.671100","4.634850"
"258","'660","Anguilla","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD",,,,,,,,,,,,,,,,,,,,,,,,,"-22.379828","30.722250","9.962157","-16.658033","43.960573","12.688303","1.715021","-66.835180","1.999333","3.380256"
"8","'028","Antigua and Barbuda","23082","Total FDI inflows","6110","Value US$","million USD","58.750000","54.792590","19.648150","15.240740","24.788890","31.485190","19.351850","22.944440","22.774070","51.791420","43.115930","98.452220","65.865060","166.321140","80.366590","220.963370","358.820160","338.204730","158.783770","80.646650","96.679210","65.160600","133.070840","94.662530","51.153840","139.530680","105.209730","139.972320","192.554270","118.376300","62.093190","296.461080","325.694970","326.687710"
"8","'028","Antigua and Barbuda","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","94.959213","86.313078","30.207625","23.014245","36.256049","44.969234","26.840503","31.252261","30.379229","68.062804","56.039410","125.486896","83.309298","212.873655","101.263229","265.954332","430.347857","391.102647","175.876243","87.716658","103.627926","69.141872","138.384281","99.383054","52.697409","139.530680","103.274701","138.690060","186.433609","114.550495","58.625311","270.748658","285.942552","273.663301"
"8","'028","Antigua and Barbuda","23085","Total FDI outflows","6110","Value US$","million USD",,,,,,,,,,,,,,,,,,,,,,,,,"12.379760","28.128470","75.063680","23.261420","-2.085380","-14.553140","1.341590","-35.530050","13.741260","14.957770"
"8","'028","Antigua and Barbuda","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD",,,,,,,,,,,,,,,,,,,,,,,,,"12.753320","28.128470","73.683101","23.048327","-2.019093","-14.082797","1.266663","-32.448486","12.064082","12.529987"
"9","'032","Argentina","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","million USD",,,,,,,,,,,,,,,,"24.000000","279.000000","304.000000","465.000000","117.000000","422.000000","295.000000","300.000000","37.000000","191.000000","188.000000","-22.000000","169.928563","615.860306","33.676449","-44.715958","27.003204","130.917741","256.925146"
